"source","target"
"Piaski Nowe","Nowosądecka"
"Nowosądecka","Witosa"
"Witosa","Kurdwanów - Dworzec Towarowy"

"Czerwone Maki","Chmieleniec"
"Chmieleniec","Kampus UJ"
"Kampus UJ","Ruczaj"
"Ruczaj","Norymberska"
"Norymberska","Grota-Roweckiego"
"Grota-Roweckiego","Lipińskiego"
"Lipińskiego","Kobierzyńska"
"Kobierzyńska","Słomiana"
"Słomiana","Kapelanka"
"Kapelanka","Szwedzka"
"Szwedzka","Centrum Kongresowe"
"Centrum Kongresowe","Orzeszkowej"
"Orzeszkowej","Stradom"
"Stradom","Starowiślna"
"Starowiślna","Poczta Główna"
"Poczta Główna","Dworzec Główny"
"Dworzec Główny","Lubicz"
"Lubicz","Rondo Mogilskie"
"Rondo Mogilskie","Cystersów"
"Cystersów","Białucha"
"Białucha","Wieczysta"
"Wieczysta","Muzeum Lotnictwa"
"Muzeum Lotnictwa","AWF"
"AWF","Stella-Sawickiego"
"Stella-Sawickiego","Czyżyny"
"Czyżyny","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Bieńczycka"
"Bieńczycka","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","DH Wanda"
"DH Wanda","Rondo Hipokratesa"
"Rondo Hipokratesa","Dunikowskiego"
"Dunikowskiego","Kleeberga"
"Kleeberga","Piasta Kołodzieja"
"Piasta Kołodzieja","Os.Piastów - Czerwone Maki"

"Bardosa","Suche Stawy"
"Suche Stawy","Klasztorna"
"Klasztorna","Os.Na Skarpie"
"Os.Na Skarpie","Plac Centralny im. R.Reagana"
"Plac Centralny im. R.Reagana","Os.Kolorowe"
"Os.Kolorowe","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Czyżyny"
"Czyżyny","Stella-Sawickiego"
"Stella-Sawickiego","AWF"
"AWF","Muzeum Lotnictwa"
"Muzeum Lotnictwa","Wieczysta"
"Wieczysta","Białucha"
"Białucha","Cystersów"
"Cystersów","Rondo Mogilskie"
"Rondo Mogilskie","Lubicz"
"Lubicz","Dworzec Główny"
"Dworzec Główny","Poczta Główna"
"Poczta Główna","Św.Gertrudy"
"Św.Gertrudy","Wawel"
"Wawel","Stradom"
"Stradom","Plac Wolnica"
"Plac Wolnica","Korona"
"Korona","Smolki"
"Smolki","Rondo Matecznego"
"Rondo Matecznego","Rzemieślnicza"
"Rzemieślnicza","Łagiewniki - Bardosa"

"Czerwone Maki","Chmieleniec"
"Chmieleniec","Kampus UJ"
"Kampus UJ","Ruczaj"
"Ruczaj","Norymberska"
"Norymberska","Grota-Roweckiego"
"Grota-Roweckiego","Lipińskiego"
"Lipińskiego","Kobierzyńska"
"Kobierzyńska","Słomiana"
"Słomiana","Kapelanka"
"Kapelanka","Szwedzka"
"Szwedzka","Centrum Kongresowe"
"Centrum Kongresowe","Orzeszkowej"
"Orzeszkowej","Stradom"
"Stradom","Wawel"
"Wawel","Św.Gertrudy"
"Św.Gertrudy","Plac Wszystkich Świętych"
"Plac Wszystkich Świętych","Filharmonia"
"Filharmonia","Teatr Bagatela"
"Teatr Bagatela","Basztowa LOT"
"Basztowa LOT","Pędzichów"
"Pędzichów","Nowy Kleparz"
"Nowy Kleparz","Dworzec Towarowy"
"Dworzec Towarowy","Politechnika"
"Politechnika","Dworzec Główny Tunel"
"Dworzec Główny Tunel","Rondo Mogilskie"
"Rondo Mogilskie","Cystersów"
"Cystersów","Białucha"
"Białucha","Wieczysta"
"Wieczysta","Muzeum Lotnictwa"
"Muzeum Lotnictwa","AWF"
"AWF","Stella-Sawickiego"
"Stella-Sawickiego","Czyżyny"
"Czyżyny","Rondo Czyżyńskie"
